Channel,Name,Min,Max,Mean,Std,Median,P5,P95
0,B2 (Blue),0.0,1.0,0.163,0.0993,0.1401,0.0606,0.3245
1,B3 (Green),0.0,1.0,0.1082,0.0987,0.0815,0.0325,0.2903
2,B4 (Red),0.0,1.0,0.1615,0.1696,0.1169,0.0125,0.5281
3,B5 (RE1),0.0492,1.0,0.5067,0.1862,0.5095,0.2081,0.7943
4,B6 (RE2),0.0814,1.0,0.3886,0.0855,0.4071,0.2677,0.4949
5,B7 (RE3),0.1766,1.0,0.4021,0.067,0.404,0.3244,0.491
6,B8 (NIR),0.0,1.0,0.2451,0.1254,0.2378,0.0609,0.4545
7,B8A (NIR-n),0.1057,1.0,0.5293,0.1126,0.5276,0.351,0.7267
8,B11 (SWIR1),0.0,1.0,0.6669,0.0972,0.7048,0.5161,0.7616
9,B12 (SWIR2),0.0306,0.9981,0.4659,0.0819,0.4656,0.3404,0.5982
10,NDVI,0.0044,1.0,0.4589,0.2697,0.4753,0.029,0.8932
11,NDWI,0.0,1.0,0.9929,0.0834,1.0,0.9999,1.0
12,EVI,0.0,1.0,0.5082,0.1316,0.5085,0.2891,0.7304
13,SAVI,0.0,1.0,0.3357,0.1689,0.3307,0.0324,0.6298
14,BSI,0.0,1.0,0.4767,0.1151,0.4711,0.2882,0.672
15,NDSI,-1.0,1.0,0.3585,0.573,0.4246,-0.864,0.9993
16,Slope,-1.0,1.0,-0.5057,0.5362,-0.7169,-0.9997,0.637
