Model,Patch,GT_Landslide_Pixels,Pred_Landslide_Pixels,IoU,F1,Precision,Recall,Boundary_F1,AP,TP,FP,FN,TN,Mean_Confidence,Max_Confidence
unet,0,44,47,0.4,0.5714,0.5532,0.5909,0.5063,0.5888,26,21,18,4031,0.0205,0.9514
unet,1,36,30,0.0,0.0,0.0,0.0,0.0,0.0427,0,30,36,4030,0.0198,0.8465
unet,2,0,0,1.0,0.0,0.0,0.0,1.0,N/A,0,0,0,4096,0.0122,0.2181
attnunet,0,44,78,0.4878,0.6557,0.5128,0.9091,0.4681,0.7703,40,38,4,4014,0.1469,0.9351
attnunet,1,36,90,0.0,0.0,0.0,0.0,0.0,0.0701,0,90,36,3970,0.1583,0.8001
attnunet,2,0,0,1.0,0.0,0.0,0.0,1.0,N/A,0,0,0,4096,0.1054,0.2692
resunet,0,44,45,0.459,0.6292,0.6222,0.6364,0.5128,0.7365,28,17,16,4035,0.0116,0.9984
resunet,1,36,113,0.0136,0.0268,0.0177,0.0556,0.0426,0.0526,2,111,34,3949,0.0271,0.9799
resunet,2,0,0,1.0,0.0,0.0,0.0,1.0,N/A,0,0,0,4096,0.0,0.0064
attnresunet,0,44,40,0.4483,0.619,0.65,0.5909,0.5,0.7596,26,14,18,4038,0.1868,0.7838
attnresunet,1,36,28,0.0323,0.0625,0.0714,0.0556,0.0656,0.0743,2,26,34,4034,0.2164,0.5724
attnresunet,2,0,0,1.0,0.0,0.0,0.0,1.0,N/A,0,0,0,4096,0.1761,0.3683
mmarunet,0,44,0,0.0,0.0,0.0,0.0,0.0,0.246,0,0,44,4052,0.0099,0.212
mmarunet,1,36,0,0.0,0.0,0.0,0.0,0.0,0.0245,0,0,36,4060,0.0101,0.2235
mmarunet,2,0,0,1.0,0.0,0.0,0.0,1.0,N/A,0,0,0,4096,0.0035,0.1418
