Model,Threshold,IoU,F1,Precision,Recall,Mean_IoU_per_patch
unet,0.1,0.1612,0.2776,0.1795,0.6125,0.132
unet,0.2,0.2132,0.3515,0.2642,0.525,0.1511
unet,0.3,0.2438,0.392,0.3277,0.4875,0.5041
unet,0.4,0.223,0.3646,0.3267,0.4125,0.49
unet,0.5,0.1985,0.3312,0.3377,0.325,0.4667
unet,0.6,0.1803,0.3056,0.3438,0.275,0.4479
unet,0.7,0.1651,0.2835,0.383,0.225,0.4333
unet,0.8,0.1753,0.2982,0.5,0.2125,0.4383
unet,0.9,0.1071,0.1935,0.6923,0.1125,0.3958
attnunet,0.1,0.0105,0.0208,0.0105,1.0,0.0099
attnunet,0.2,0.0239,0.0467,0.0239,0.9875,0.0196
attnunet,0.3,0.134,0.2363,0.1363,0.8875,0.4417
attnunet,0.4,0.191,0.3207,0.2091,0.6875,0.4894
attnunet,0.5,0.1923,0.3226,0.2381,0.5,0.4959
attnunet,0.6,0.2229,0.3646,0.3125,0.4375,0.5128
attnunet,0.7,0.2137,0.3521,0.4032,0.3125,0.4848
attnunet,0.8,0.2262,0.3689,0.8261,0.2375,0.4681
attnunet,0.9,0.0875,0.1609,1.0,0.0875,0.3864
resunet,0.1,0.1533,0.2658,0.178,0.525,0.5069
resunet,0.2,0.1412,0.2474,0.1706,0.45,0.49
resunet,0.3,0.1387,0.2435,0.1728,0.4125,0.4863
resunet,0.4,0.1435,0.251,0.1829,0.4,0.4914
resunet,0.5,0.1442,0.2521,0.1899,0.375,0.4909
resunet,0.6,0.145,0.2533,0.1946,0.3625,0.4913
resunet,0.7,0.1421,0.2488,0.2016,0.325,0.4828
resunet,0.8,0.1491,0.2595,0.2286,0.3,0.4762
resunet,0.9,0.1855,0.3129,0.3433,0.2875,0.4808
attnresunet,0.1,0.0066,0.0131,0.0066,1.0,0.0066
attnresunet,0.2,0.0211,0.0413,0.0211,1.0,0.0198
attnresunet,0.3,0.0864,0.1591,0.0869,0.9375,0.0788
attnresunet,0.4,0.1556,0.2692,0.1667,0.7,0.5059
attnresunet,0.5,0.2333,0.3784,0.4118,0.35,0.4935
attnresunet,0.6,0.2262,0.3689,0.8261,0.2375,0.4653
attnresunet,0.7,0.1375,0.2418,1.0,0.1375,0.4167
attnresunet,0.8,0.0,0.0,0.0,0.0,0.3333
attnresunet,0.9,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.1,0.0586,0.1106,0.0839,0.1625,0.0377
mmarunet,0.2,0.0341,0.0659,0.2727,0.0375,0.3561
mmarunet,0.3,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.4,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.5,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.6,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.7,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.8,0.0,0.0,0.0,0.0,0.3333
mmarunet,0.9,0.0,0.0,0.0,0.0,0.3333
