Channel,Channel_Name,Mean_Inside,Std_Inside,Mean_Outside,Std_Outside,Difference
0,B2 (Blue),0.478032,0.09460049999999999,0.1434445,0.09994800000000001,0.33458750000000004
1,B3 (Green),0.45912549999999996,0.099415,0.10866050000000001,0.10685800000000001,0.35046499999999997
2,B4 (Red),0.463318,0.142607,0.172673,0.181157,0.29064500000000004
3,B5 (RE1),0.3712185,0.056263999999999995,0.46108699999999997,0.13085750000000002,-0.08986849999999996
4,B6 (RE2),0.7190365,0.072491,0.4276625,0.057699,0.29137399999999997
5,B7 (RE3),0.7127414999999999,0.073349,0.422628,0.053814,0.2901134999999999
6,B8 (NIR),0.6645685,0.13085,0.279989,0.088092,0.3845795
7,B8A (NIR-n),0.36313399999999996,0.1063525,0.5659890000000001,0.0975505,-0.20285500000000012
8,B11 (SWIR1),0.2162805,0.0875355,0.645239,0.0646235,-0.4289585
9,B12 (SWIR2),0.4824775,0.1004795,0.450511,0.07635,0.03196650000000001
10,NDVI,0.2583185,0.0499015,0.35248,0.2339435,-0.09416150000000001
11,NDWI,0.9999914999999999,1.3000000000000001e-05,0.999627,0.016245500000000003,0.0003644999999998788
12,EVI,0.5107765,0.1665375,0.510093,0.131152,0.000683499999999948
13,SAVI,0.4118345,0.1136005,0.3048505,0.16274899999999998,0.10698399999999997
14,BSI,0.4509455,0.11674999999999999,0.4597365,0.1085255,-0.008790999999999993
15,NDSI,0.505466,0.407019,0.29566400000000004,0.5718920000000001,0.20980199999999993
16,Slope,-0.6210815000000001,0.2869345,-0.5124525,0.51521,-0.10862900000000009
