Channel,Mean_Landslide_Patches,Mean_Background_Patches,Difference
B2 (Blue),0.14689578,0.19531648,-0.048420697
B3 (Green),0.11227885,0.10014179,0.012137055
B4 (Red),0.17568001,0.1332728,0.042407215
B5 (RE1),0.46025088,0.59967947,-0.13942859
B6 (RE2),0.43063924,0.3045124,0.12612683
B7 (RE3),0.42558426,0.35502997,0.070554286
B8 (NIR),0.2839558,0.16751996,0.116435856
B8A (NIR-n),0.56395596,0.45987257,0.10408339
B11 (SWIR1),0.640936,0.7188143,-0.0778783
B12 (SWIR2),0.4508474,0.49612215,-0.045274764
NDVI,0.351717,0.67314583,-0.32142884
NDWI,0.9996446,0.97948545,0.020159125
EVI,0.51009464,0.5044378,0.0056568384
SAVI,0.30595097,0.3952617,-0.089310735
BSI,0.45965624,0.51070696,-0.051050723
NDSI,0.29772997,0.47995594,-0.18222597
Slope,-0.51365286,-0.4897142,-0.023938656
